game_date,batter,first_name,last_name,estimated_woba_using_speedangle,woba_value,woba_denom,diff_OBA,rolling_100PA_diff_OBA,rolling_100PA_xwOBA,rolling_100PA_wOBA,diff_rolling_OBA
2024-04-07,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06322074999999999,0.41177925000000004,0.475,-0.06322074999999994
2024-04-07,641933,tyler,o'neill,0.720192,0.7,1,0.0201920000000001,-0.05924871428571428,0.4264655714285714,0.48571428571428565,-0.059248714285714266
2024-04-07,641933,tyler,o'neill,1.441,2.0,1,-0.5589999999999999,-0.0819646818181818,0.4725807727272727,0.5545454545454546,-0.08196468181818184
2024-04-07,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.07840099999999998,0.45203378260869564,0.5304347826086956,-0.07840099999999994
2024-04-09,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.07513429166666664,0.4331990416666667,0.5083333333333333,-0.07513429166666663
2024-04-09,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.07212891999999999,0.41587108,0.488,-0.07212891999999999
2024-04-09,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06935473076923075,0.39987603846153846,0.46923076923076923,-0.06935473076923077
2024-04-09,641933,tyler,o'neill,1.896,2.0,1,-0.10400000000000009,-0.07063788888888888,0.4552880370370371,0.5259259259259259,-0.07063788888888883
2024-04-10,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06811510714285714,0.43902775000000005,0.5071428571428571,-0.06811510714285707
2024-04-10,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06576631034482758,0.42388886206896553,0.4896551724137931,-0.06576631034482755
2024-04-10,641933,tyler,o'neill,0.048,0.9,1,-0.852,-0.09197409999999999,0.4113592333333333,0.5033333333333333,-0.0919741
2024-04-10,641933,tyler,o'neill,0.689131,0.7,1,-0.010868999999999907,-0.08935780645161288,0.42031961290322584,0.5096774193548387,-0.08935780645161284
2024-04-11,641933,tyler,o'neill,0.016,0.0,1,0.016,-0.08606537499999999,0.407684625,0.49375,-0.086065375
2024-04-11,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.08345733333333331,0.3953305454545455,0.4787878787878788,-0.08345733333333333
2024-04-11,641933,tyler,o'neill,0.689131,0.7,1,-0.010868999999999907,-0.08132238235294116,0.4039717352941177,0.4852941176470588,-0.08132238235294115
2024-04-11,641933,tyler,o'neill,0.059,0.0,1,0.059,-0.07731317142857141,0.3941154,0.4714285714285714,-0.07731317142857141
2024-04-11,641933,tyler,o'neill,0.179,0.0,1,0.179,-0.0701933611111111,0.38813997222222224,0.4583333333333333,-0.07019336111111107
2024-04-12,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06829624324324324,0.3776497027027027,0.44594594594594594,-0.06829624324324324
2024-04-12,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06649897368421051,0.36771155263157895,0.4342105263157895,-0.06649897368421054
2024-04-12,641933,tyler,o'neill,0.0,0.0,1,0.0,-0.06479387179487178,0.3582830512820513,0.4230769230769231,-0.06479387179487178
2024-04-12,641933,tyler,o'neill,0.533,0.0,1,0.533,-0.04984902499999999,0.362650975,0.4125,-0.04984902499999999
2024-04-14,641933,tyler,o'neill,0.689131,0.7,1,-0.010868999999999907,-0.04889829268292681,0.3706139024390244,0.4195121951219512,-0.04889829268292678
2024-04-14,641933,tyler,o'neill,0.546,0.0,1,0.546,-0.0347340476190476,0.37478976190476193,0.4095238095238095,-0.03473404761904758
2024-04-14,641933,tyler,o'neill,0.784,0.9,1,-0.11599999999999999,-0.03662395348837208,0.38430627906976744,0.42093023255813955,-0.03662395348837211
2024-04-14,641933,tyler,o'neill,1.839,2.0,1,-0.16100000000000003,-0.03945068181818181,0.41736750000000006,0.45681818181818185,-0.03945068181818179
2024-04-15,641933,tyler,o'neill,0.689131,0.7,1,-0.010868999999999907,-0.03881553333333332,0.42340668888888894,0.46222222222222226,-0.03881553333333332
2024-04-15,641933,tyler,o'neill,1.732,0.0,1,1.732,-0.0003195434782608555,0.4518543695652174,0.45217391304347826,-0.00031954347826085305
2024-04-15,641933,tyler,o'neill,0.903,0.9,1,0.0030000000000000027,-0.0002489148936170074,0.4614532127659574,0.46170212765957447,-0.0002489148936170582
2024-04-01,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,-0.010868999999999907,0.689131,0.7,-0.010868999999999907
2024-04-03,642133,rowdy,tellez,0.0,0.0,1,0.0,-0.005434499999999953,0.3445655,0.35,-0.005434499999999953
2024-04-03,642133,rowdy,tellez,0.689131,0.7,1,-0.010868999999999907,-0.007245999999999937,0.4594206666666667,0.4666666666666666,-0.007245999999999919
2024-04-03,642133,rowdy,tellez,0.049,0.0,1,0.049,0.006815500000000047,0.3568155,0.35,0.00681550000000003
